Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0.2,0.0,8.009,22.772,31.074,0.587,0.0,6.464280564350036,297.77324625445027,0.0,10.828492922693298,0.0001,150.32858469887745,62508.71585606987,14.63183126665653,0.0579723870330233
0.4,0.0,8.009,22.772,31.074,0.587,0.0,6.4651378451445884,297.9119025083804,0.0,25.116267182679053,0.0001,45.35084910994581,62515.90824981738,14.60975205213901,0.0
0.6000000000000001,0.0,8.009,22.772,31.074,0.587,0.0,6.474933065036852,297.88769879123726,0.0,39.578317243837546,0.0001,0.0001,62526.04490676981,14.588009591562894,0.0
0.8,0.0,8.009,22.772,31.074,0.587,0.0,6.490229408069406,298.0980388456087,0.0,50.09570620639253,0.0001,64.38552037803643,62538.30275757465,14.562771402318289,0.0
1.0,0.0,8.009,22.772,31.074,0.587,0.0,6.508913075616049,298.0093508968972,0.0,54.50511567713857,68.53765130811863,6.438552037803643,62551.45196727083,14.548777718500608,0.0
1.2000000000000002,0.0,8.009,22.772,31.074,0.587,0.0,6.522864797724202,297.935672745875,0.0,51.447551298870096,40.0392153051784,0.6438552037803644,62563.98192589933,14.514575042933942,0.0
1.4,0.0,8.009,22.772,31.074,0.587,0.0,6.5322609713369815,298.0949758339838,0.0,42.83565829682398,12.01176459155352,52.83612425892994,62574.74494229417,14.504194551785972,0.0
1.6,0.0,8.009,22.772,31.074,0.587,0.0,6.531823557931827,298.009740401543,0.0,30.46509582332756,65.11164409206887,5.283612425892994,62582.95579407472,14.477138776151046,0.0
1.8,0.0,8.009,22.772,31.074,0.587,0.0,6.522451653573516,297.94918728848654,0.0,18.287175122126516,38.07224051356644,0.5283612425892995,62588.69333482593,14.45534413459414,0.0
2.0,0.0,8.009,22.772,31.074,0.587,0.0,6.507003939876927,298.08900489361355,0.0,9.855853816118712,11.421672154069933,45.09185862299677,62592.68921558411,14.429414403353098,0.0
2.2,0.0,8.009,22.772,31.074,0.587,0.0,6.490520040675495,298.02413090395385,0.0,7.594956272326291,58.2074175890562,4.5091858622996766,62596.22060656597,14.4124686820106,0.0
2.4000000000000004,0.0,8.009,22.772,31.074,0.587,0.0,6.476987811125196,297.9699195451465,0.0,11.911574507679884,38.11494262851448,0.4509185862299676,62600.64059542268,14.374922344742762,0.0
2.6,0.0,8.009,22.772,31.074,0.587,0.0,6.469635967535758,297.9418574522204,0.0,21.628087293081997,20.803487660705365,0.0450918586229967,62607.06227224059,14.347272853181376,0.0
2.8000000000000003,0.0,8.009,22.772,31.074,0.587,0.0,6.469608978263342,298.0358249195965,0.0,34.274511191191024,6.241046298211609,27.297785392630168,62616.06408178316,14.31917090103197,0.0
3.0,0.0,8.009,22.772,31.074,0.587,0.0,6.477695684827424,298.0016160423343,0.0,46.9274825111814,36.68994269817829,2.729778539263017,62627.6581792003,14.298794415167835,0.0
3.2,0.0,15.687,22.772,31.074,0.587,0.0,6.489789364563391,297.9748643636676,0.0,56.34259781700994,25.52655852227175,0.2729778539263017,62643.25310992051,14.265965273469966,0.0
3.4000000000000004,0.0,15.687,22.772,31.074,0.587,0.0,6.503799108099818,297.9634844078287,0.0,60.933062183124605,16.614397549264048,0.0272977853926301,62659.79151848016,14.236883411195777,0.0
